path,source_article,target_article,human_path_length,shortest_path_length,is_successful,top,center_top,center,center_bottom,bottom,count_images,path_seq_cosine_sim,path_target_cosine_sim,path_seq_boolean,path_target_boolean,seq_strictly_increasing,target_strictly_increasing,curv_feats_0,curv_feats_1,curv_feats_2,curv_feats_3,curv_feats_4,curv_feats_5,curv_feats_6,curv_feats_7,curv_feats_8,curv_feats_9,curv_feats_10,curv_feats_11,curv_feats_12,curv_feats_13,curv_feats_14,curv_feats_15,used_top,used_center_bottom,used_bottom,treatment_used_top,prop_scores_used_top
rabat;atlantic ocean;faroe islands;puffin;bird;falcon,rabat,falcon,5,4,1,2,1,2,0,1,4,"[0.049238349184706334, 0.1174559936353414, 0.02406566492734561, 0.08092476263289913, 0.07328792417301735]","[0.0027374820008048938, 0.006073502925743747, 0.003248455072174638, 0.01946423403702401, 0.07328792417301735, 0.9999999999999987]","[True, False, True, False]","[True, False, True, True, True]",False,False,5.0,-151.4,99.76121490840016,-256.0,-241.0,-159.0,-65.0,-36.0,4.0,47.75,171.67677963739496,-205.0,21.5,110.0,136.25,176.0,0,0,0,0,0.07471614598362421
easter island;banana;potassium;chemical element;periodic table;scandium,easter island,scandium,5,4,1,4,0,2,0,0,4,"[0.036885892495018606, 0.0312151618452888, 0.11465872398324178, 0.42318001982105063, 0.1491387932191252]","[0.006427620023898685, 0.009202001352620368, 0.07677403717079122, 0.1594244596557979, 0.1491387932191252, 0.999999999999999]","[False, True, True, False]","[True, True, True, False, True]",False,False,5.0,-130.6,45.916228068080684,-185.0,-142.0,-139.0,-129.0,-58.0,4.0,-20.25,52.89848769104841,-71.0,-59.75,-26.5,13.0,43.0,1,0,0,1,0.08549636529999326
stage (theatre);europe;earth;human;pollution,stage (theatre),london sewerage system,4,4,0,1,1,2,0,1,2,"[0.020453074967401938, 0.08556400889779398, 0.10858061701453792, 0.11057080082487127]","[0.015314049440354593, 0.05478705483364475, 0.07377399816940328, 0.11057080082487127, 0.9999999999999987]","[True, True, True]","[True, True, True, True]",True,True,4.0,-457.5,338.29819193526095,-942.0,-555.0,-353.5,-256.0,-181.0,3.0,253.66666666666663,228.29878084066357,100.0,122.5,145.0,330.5,516.0,0,0,0,0,0.08549374949882801
electron;electricity;electronics;television;film;charlie chaplin,electron,the godfather,5,4,0,3,1,2,0,0,5,"[0.23311008301444142, 0.10376353855217056, 0.1284915619351281, 0.1588482733601337, 0.15628233612141657]","[0.005447566905081802, 0.005115705512405884, 0.0026772429632550745, 0.02191369171216817, 0.15628233612141657, 0.9999999999999984]","[False, True, True, False]","[False, False, True, True, True]",False,False,5.0,-113.8,58.85320721931813,-170.0,-159.0,-129.0,-84.0,-27.0,4.0,25.5,90.12028998325886,-86.0,-13.25,28.0,66.75,132.0,1,0,0,1,0.08085965670026476
bill clinton;u2;alternative rock;musical instrument;trumpet;brass instrument,bill clinton,brass instrument,5,4,1,1,2,2,0,1,3,"[0.041309687435883286, 0.12383973473712376, 0.03231205909074329, 0.12843245868360273, 0.4000697658231276]","[0.005347305001158615, 0.011418173874468081, 0.01047657756116041, 0.298773841969538, 0.4000697658231276, 0.9999999999999999]","[True, False, True, True]","[True, False, True, True, True]",False,False,5.0,-51.8,27.160633276858626,-87.0,-72.0,-47.0,-27.0,-26.0,4.0,15.25,33.27035717672214,-25.0,-5.5,20.5,41.25,45.0,0,0,0,0,0.08085440391020172
achilles tendon;achilles;ethiopia;horn of africa;black rhinoceros;namibia;angola,achilles tendon,ivory,6,4,0,6,0,0,1,0,3,"[0.4789700473306632, 0.011361904057184973, 0.23808348796086873, 0.11015404130879199, 0.07051106880804994, 0.14404367012270297]","[0.00307318207860106, 0.005107134249931965, 0.0832016651161187, 0.035803772332925976, 0.03150553734590079, 0.14404367012270297, 0.9999999999999991]","[False, True, False, False, True]","[True, True, False, False, True, True]",False,False,6.0,-92.83333333333331,58.08757755894686,-155.0,-136.75,-106.5,-47.75,-14.0,5.0,-21.4,92.14553705958852,-141.0,-59.0,-29.0,13.0,109.0,1,0,0,1,0.06371757620532656
lake turkana;africa;united nations;united kingdom;the beatles;paul mccartney,lake turkana,paul mccartney,5,4,1,0,0,2,3,1,5,"[0.061954422392873805, 0.13807227319012375, 0.1883090681413354, 0.11260174569806237, 0.4948988225307673]","[0.00606650036997394, 0.01336421956803515, 0.018603922765627515, 0.03974126671983206, 0.4948988225307673, 0.9999999999999992]","[True, True, False, True]","[True, True, True, True, True]",False,True,5.0,-483.4,385.0159736945988,-1083.0,-541.0,-488.0,-227.0,-78.0,4.0,102.5,580.0818907706049,-542.0,-175.25,48.0,325.75,856.0,0,1,0,0,0.063701303206404
black wildebeest;south africa;infrastructure;telecommunication;radio;radio frequency,black wildebeest,radio frequency,5,4,1,3,0,1,0,2,2,"[0.10114512121677896, 0.04848201585426086, 0.06885182401573262, 0.32718377377730856, 0.3955137434927816]","[0.004524695610861531, 0.01726154852203115, 0.007710247004400628, 0.09827887527507885, 0.3955137434927816, 1.000000000000001]","[False, True, True, True]","[True, False, True, True, True]",False,False,5.0,-133.0,117.68814723666952,-321.0,-146.0,-131.0,-40.0,-27.0,4.0,70.25,121.30230830450012,-104.0,42.25,105.0,133.0,175.0,1,0,0,1,0.0740591199035131
haemophilia;hiv;united states;agriculture;fertilizer,haemophilia,fertilizer,4,4,1,2,1,0,1,1,2,"[0.05492914272444826, 0.035293321476101445, 0.09694064671455109, 0.16123086495318797]","[0.009756955949286198, 0.010007722292633298, 0.02049346946816687, 0.16123086495318797, 0.9999999999999986]","[False, True, True]","[True, True, True, True]",False,True,4.0,-561.5,703.3939152423768,-1565.0,-791.0,-315.5,-86.0,-50.0,3.0,-16.0,1332.048422543265,-1515.0,-540.0,435.0,733.5,1032.0,0,0,0,0,0.07406016082369327
diego garcia;united states;agriculture;honey,diego garcia,wasp,3,4,0,2,0,1,1,0,1,"[0.09846365419657924, 0.09694064671455109, 0.05196170412379383]","[0.005715911060036189, 0.026183777089168275, 0.05196170412379383, 0.9999999999999983]","[False, False]","[True, True, True]",False,True,3.0,-730.6666666666666,761.9779086911466,-1572.0,-1052.5,-533.0,-310.0,-87.0,2.0,742.5,419.31432124362266,446.0,594.25,742.5,890.75,1039.0,1,0,0,1,0.08698254861156712
guernsey;germany;industrial revolution;rail transport;automobile,guernsey,autorack,4,4,0,1,2,0,1,1,5,"[0.05877105081989557, 0.0862234634479971, 0.16122543045718288, 0.12277464986722518]","[0.01964317581978411, 0.09147040101264814, 0.17610517941203024, 0.12277464986722518, 0.9999999999999996]","[True, True, False]","[True, True, False, True]",False,False,4.0,-312.5,315.27078308442515,-774.0,-384.0,-191.0,-119.5,-94.0,3.0,215.33333333333337,281.1144488163732,-34.0,63.0,160.0,340.0,520.0,0,0,0,0,0.08701328963332514
crystal;snow;human;genetics,crystal,child,3,4,0,0,0,2,1,1,2,"[0.09947947139874977, 0.03937636405098223, 0.12583927693757974]","[0.018896653411929074, 0.013627945415221136, 0.12583927693757974, 1.0000000000000002]","[False, True]","[False, True, True]",False,False,3.0,-153.33333333333334,73.41888948583555,-203.0,-195.5,-188.0,-128.5,-69.0,2.0,-67.0,73.53910524340094,-119.0,-93.0,-67.0,-41.0,-15.0,0,0,0,0,0.13596553733488484
